scenario,policy,seed,arrivals,started,completed,waiting,in_service,wait_started,wait_censored,objective,max_queue,icu_saturation,fatigue_mean,weighted_queue_area,runtime_s,wait_p0,coverage_p0,wait_p1,coverage_p1,wait_p2,coverage_p2,util_beds,util_icu,util_ventilators,util_doctors,util_nurses
referencia,tuned,1029,146,82,74,64,8,115.81085595521662,198.39782281682417,174.77298367804772,82,0.9,0.8604608641236768,61059.0,0.23516170005314052,148.17980428592898,0.8620689655172413,108.04082865400628,1.0,287.5645727502102,0.1044776119402985,0.3446180555555556,0.9369791666666667,0.6326388888888889,0.9854166666666667,0.6569444444444444
demanda_150,fifo,1000,209,103,95,106,8,181.34703418563632,226.71320571532033,253.89345892745663,129,0.15833333333333333,0.8620227637861161,122970.0,0.35036120004951954,200.79797820527583,0.4117647058823529,231.93181806138577,0.5222222222222223,231.55370717644539,0.49411764705882355,0.46371527777777777,0.5828125,0.28194444444444444,0.9869791666666666,0.6579861111111112
demanda_150,fifo,1001,217,104,96,113,8,190.84567232554238,224.25022554780705,260.8810922738563,127,0.8166666666666667,0.8669689462931469,137778.0,0.3489716000040062,232.67817564434583,0.54,223.16414396621565,0.45714285714285713,220.68969158785305,0.4639175257731959,0.35572916666666665,0.9166666666666666,0.4527777777777778,0.9919270833333333,0.6612847222222222
demanda_150,fifo,1002,228,104,96,124,8,175.1950071900227,226.85627180115122,255.82346834477963,136,0.28541666666666665,0.8680102693350855,131083.0,0.3741013000253588,227.1906761244445,0.48717948717948717,205.63692936171353,0.43023255813953487,244.4467735602114,0.46601941747572817,0.4192708333333333,0.728125,0.5048611111111111,0.99296875,0.6619791666666667
demanda_150,fifo,1003,225,97,89,128,8,172.06591394632568,230.81601849488652,273.8550181625037,137,0.475,0.8690515642167814,155325.0,0.3791009000269696,249.40451924122695,0.4117647058823529,227.93826901556866,0.5,222.73727914740525,0.37209302325581395,0.4019097222222222,0.7822916666666667,0.4909722222222222,0.9940104166666667,0.6626736111111111
demanda_150,fifo,1004,220,106,98,114,8,169.56636710097723,211.5555510408716,245.11578265114562,123,0.5791666666666667,0.8659276318107082,120558.0,0.339607400004752,206.75093841641183,0.5581395348837209,222.51647268642967,0.4925373134328358,206.7575200645023,0.44545454545454544,0.37569444444444444,0.8546875,0.4840277777777778,0.9908854166666666,0.6605902777777778
demanda_150,fifo,1005,233,101,94,132,7,173.27023330188248,235.5904972413136,269.8836688984072,146,0.6333333333333333,0.8669689311867432,145338.0,0.3948033000342548,233.04400517532255,0.46938775510204084,236.75709571712957,0.4647887323943662,235.96173281167313,0.39823008849557523,0.3836805555555556,0.8328125,0.7298611111111111,0.9919270833333333,0.6612847222222222
demanda_150,fifo,1006,243,101,94,142,7,178.8493358866235,244.64074896610796,280.3329091429153,156,0.8104166666666667,0.866187962971026,164512.0,0.44509170000674203,251.1007192326095,0.4107142857142857,222.2203021672813,0.379746835443038,257.69127639373033,0.4444444444444444,0.3546875,0.9182291666666667,0.5090277777777777,0.9911458333333333,0.6607638888888889
demanda_150,fifo,1007,224,103,95,121,8,176.78712697687197,220.11457276349432,252.52921043517654,128,0.3229166666666667,0.8607211644090724,135001.0,0.35925149999093264,212.67371578353368,0.4883720930232558,223.80593370495453,0.5,219.97978557016341,0.4065934065934066,0.40208333333333335,0.7651041666666667,0.6701388888888888,0.9856770833333334,0.6571180555555556
demanda_150,fifo,1008,235,112,105,123,7,192.84908928595695,231.63170313750493,263.96812867852674,139,0.46041666666666664,0.8669689356283622,141359.0,0.38673149998066947,231.0822100550763,0.5116279069767442,226.19422811335787,0.46987951807228917,235.98893827097868,0.46788990825688076,0.4171875,0.7322916666666667,0.5701388888888889,0.9919270833333333,0.6612847222222222
demanda_150,fifo,1009,237,108,100,129,8,179.19530043151494,238.91751087400561,274.66411164369214,147,0.46041666666666664,0.8693118979074294,152028.0,0.4113806000095792,230.29412004786496,0.4222222222222222,252.4525742383866,0.47126436781609193,231.3984830118645,0.45714285714285713,0.41458333333333336,0.7447916666666666,0.5888888888888889,0.9942708333333333,0.6628472222222223
demanda_150,fifo,1010,237,103,95,134,8,173.8182473803674,237.11408223530782,284.6004501153981,148,0.5541666666666667,0.8641053917099738,166388.0,0.39045329997316003,261.928777352445,0.34545454545454546,237.74229701288866,0.5185185185185185,223.09731363702466,0.4158415841584158,0.40034722222222224,0.7770833333333333,0.6298611111111111,0.9890625,0.659375
demanda_150,fifo,1011,229,110,102,119,8,191.06361042678753,244.42377073288205,266.3586466989009,152,0.35833333333333334,0.8672292709491387,141120.0,0.39422359998570755,211.44165886118913,0.5641025641025641,243.0174336470994,0.46153846153846156,258.70941757936936,0.46464646464646464,0.4032986111111111,0.7744791666666667,0.6736111111111112,0.9921875,0.6614583333333334
demanda_150,fifo,1012,229,109,101,120,8,164.18437270233656,210.37662398698166,247.22342464817154,135,0.39375,0.8667086315268897,135553.0,0.33995260001393035,218.77347923787562,0.41509433962264153,200.71770089912366,0.4864864864864865,213.02100614584546,0.5,0.4027777777777778,0.775,0.4375,0.9916666666666667,0.6611111111111111
demanda_150,fifo,1013,242,103,95,139,8,182.19554401782085,238.7415067201754,273.9099096774737,156,0.31875,0.8656672891870572,151252.0,0.4284981999662705,245.6954336099101,0.4444444444444444,226.4923251531679,0.47058823529411764,245.2437721055109,0.38392857142857145,0.4065972222222222,0.7614583333333333,0.5041666666666667,0.990625,0.6604166666666667
demanda_150,fifo,1014,245,103,95,142,8,168.02376225017093,232.4323452706699,271.5841049598554,156,0.5375,0.867229270924046,162205.0,0.40017339994665235,236.39619249271675,0.41818181818181815,233.3591454903932,0.4482758620689655,229.5328965684515,0.39805825242718446,0.3888888888888889,0.8177083333333334,0.5319444444444444,0.9921875,0.6614583333333334
demanda_150,fifo,1015,250,104,97,146,7,165.10836407365304,216.48163258975904,252.06890533289373,147,0.5479166666666667,0.8708738752768274,137744.0,0.39884119998896495,213.63039656834727,0.44680851063829785,216.23472421399683,0.4358974358974359,217.70776816028553,0.392,0.3845486111111111,0.8380208333333333,0.39791666666666664,0.9958333333333333,0.6638888888888889
demanda_150,fifo,1016,242,116,108,126,8,178.01928662206868,235.4763099729462,277.6510088005448,150,0.44375,0.866187967208467,162555.0,0.3868476999923587,243.79744974937128,0.39215686274509803,240.3924081100398,0.38461538461538464,226.7588793822143,0.61,0.4230902777777778,0.7130208333333333,0.6083333333333333,0.9911458333333333,0.6607638888888889
demanda_150,fifo,1017,217,114,106,103,8,176.2077019733231,215.383059677159,242.713187422876,126,0.17916666666666667,0.8693118949713036,116319.0,0.3245137000340037,199.9486075867096,0.5714285714285714,212.55732883842288,0.4146341463414634,223.10221719657994,0.6,0.42430555555555555,0.715625,0.3298611111111111,0.9942708333333333,0.6628472222222223
