variant,seed,arrivals,started,completed,waiting,in_service,wait_started,wait_censored,objective,max_queue,icu_saturation,fatigue_mean,weighted_queue_area,runtime_s,wait_p0,coverage_p0,wait_p1,coverage_p1,wait_p2,coverage_p2,util_beds,util_icu,util_ventilators,util_doctors,util_nurses
dt_025,1025,152,78,70,74,8,95.1325512067892,205.96021188674595,155.61270731265782,85,0.965625,0.8654091617311562,57015.0,0.8148931999458,100.45577645907755,0.8181818181818182,86.63226293133091,0.9433962264150944,354.5363886102316,0.015151515151515152,0.3318142361111111,0.9852864583333333,0.6953125,0.9903645833333333,0.6602430555555555
dt_025,1026,178,78,70,100,8,155.0112173045304,235.3462449599301,234.9382532413427,111,0.9494791666666667,0.8641076230466673,107563.25,1.0643716999911703,212.5473429689872,0.5813953488372093,154.17997003094163,0.7846153846153846,324.71996861699853,0.02857142857142857,0.33480902777777777,0.9736979166666667,0.5055555555555555,0.9890625,0.659375
dt_025,1027,143,90,82,53,8,115.04341112425313,178.23762359406064,130.76903054169628,73,0.9567708333333333,0.8612440894202145,43708.5,0.6503475999925286,89.02297798451104,0.9642857142857143,63.12162349297701,1.0,291.1846682566293,0.2463768115942029,0.3345920138888889,0.9686197916666667,0.5289930555555555,0.9861979166666667,0.6574652777777777
dt_025,1028,161,81,73,80,8,109.26608590723254,203.15663334544834,187.83345039789836,95,0.9661458333333334,0.8642377755766708,73631.75,0.8202835000120103,175.47482068347023,0.75,90.3096128406053,0.9615384615384616,297.19211720959976,0.0547945205479452,0.33389756944444443,0.9766927083333333,0.8618055555555556,0.9891927083333333,0.6594618055555556
dt_025,1029,146,83,75,63,8,116.05465492854427,196.22145295381048,174.1949785629582,83,0.9010416666666666,0.8609186917365559,61040.5,0.6851517999893986,146.8263560100669,0.8620689655172413,111.52082865400627,1.0,280.81084140692656,0.11940298507462686,0.3446180555555556,0.937890625,0.6314236111111111,0.9858723958333333,0.6572482638888889
sin_feedback,1000,148,104,99,44,5,132.56546460931844,183.78152490946024,125.46134035400003,77,0.74375,0.8544735407963149,46907.0,0.16162299999268726,44.99533517605582,1.0,113.45231918761041,1.0,315.4547699729878,0.26666666666666666,0.384375,0.8057291666666667,0.47291666666666665,0.9794270833333333,0.6529513888888889
sin_feedback,1001,135,127,119,8,8,147.32931740135714,146.83861957927144,135.42152527274047,64,0.95625,0.8635847283322514,51435.0,0.13139439997030422,146.19944947434098,0.875,34.38243646595951,1.0,219.01871577564663,0.9482758620689655,0.3333333333333333,0.9770833333333333,0.5479166666666667,0.9885416666666667,0.6590277777777778
sin_feedback,1002,156,113,106,43,7,151.35066026277104,186.63142078888782,129.1993534505508,86,0.8458333333333333,0.8651466885406313,49727.0,0.1802830999949947,88.67794486732502,1.0,69.409312525251,1.0,308.45419477556254,0.4189189189189189,0.3482638888888889,0.9354166666666667,0.5875,0.9901041666666667,0.6600694444444445
sin_feedback,1003,148,104,97,44,7,144.96853673186726,189.78016333367324,150.73569105500528,78,0.9354166666666667,0.8664482859399224,61697.0,0.20518390001961961,126.25348436801119,0.9428571428571428,99.42894760569257,1.0,329.671931699396,0.2222222222222222,0.34565972222222224,0.9458333333333333,0.6868055555555556,0.99140625,0.6609375
sin_feedback,1004,142,131,123,11,8,151.04307968824142,148.60352709360666,97.301720326334,65,0.7895833333333333,0.8617624372178933,34873.0,0.16842639999231324,72.80180665666924,1.0,38.52479897575079,1.0,250.65735216399565,0.8405797101449275,0.36961805555555555,0.8645833333333334,0.46875,0.98671875,0.6578125
sin_feedback,1005,154,110,103,44,7,139.5288413753404,187.3476387056806,137.37365909491868,87,0.9125,0.8628037207907192,53739.0,0.20337210001889616,108.1678557224836,0.9705882352941176,65.89320530331699,1.0,316.13443182088696,0.37681159420289856,0.34756944444444443,0.9328125,0.7652777777777777,0.9877604166666667,0.6585069444444445
sin_feedback,1006,168,110,102,58,8,157.01844618908183,200.74914139319324,166.99872562407765,95,0.9479166666666666,0.8625434218867869,69012.0,0.22323260002303869,163.0269974621354,0.8378378378378378,51.4669935158844,0.9807692307692307,316.67814158394265,0.35443037974683544,0.3359375,0.9671875,0.5472222222222223,0.9875,0.6583333333333333
sin_feedback,1007,149,104,96,45,8,112.4728541186223,179.6896764927015,140.67990637735707,80,0.8375,0.8526514408689941,55634.0,0.17314800003077835,96.21105941904425,1.0,116.49165300634965,1.0,298.39424779722754,0.18181818181818182,0.3454861111111111,0.91875,0.7652777777777777,0.9776041666666667,0.6517361111111111
sin_feedback,1008,158,118,110,40,8,161.61095285263607,198.27503041299818,140.00672948220372,89,0.7708333333333334,0.8635846997001412,55343.0,0.2094158999971114,96.08698151389106,1.0,88.64441834720205,1.0,329.5712123551148,0.43661971830985913,0.37118055555555557,0.8635416666666667,0.5618055555555556,0.9885416666666667,0.6590277777777778
sin_feedback,1009,171,104,96,67,8,107.18367511823028,200.46996174776842,149.3099786638879,95,0.8791666666666667,0.8667086184015541,62952.0,0.23325930000282824,97.25888365261098,1.0,101.12678240980269,1.0,335.53029510873796,0.0821917808219178,0.3420138888888889,0.9572916666666667,0.73125,0.9916666666666667,0.6611111111111111
